檔案名稱,影片秒數,眨眼次數,平均眨眼秒數
000.mp4,15.84,36,0.5094111374446324
001.mp4,18.4,40,0.5212420805906638
002.mp4,23.1,62,0.514067931253402
003.mp4,12.12,26,0.5263301277160645
004.mp4,12.36,27,0.5331480136284461
005.mp4,15.4,34,0.5194842381910845
006.mp4,10.333333333333334,26,0.5526957511901855
007.mp4,20.2,47,0.4852907502132913
008.mp4,25.48,54,0.5382490517958155
009.mp4,19.6,50,0.5311990319466104
010.mp4,18.96,42,0.5165987596279238
011.mp4,26.333333333333332,58,0.5037770438612553
012.mp4,14.52,33,0.49661049246788025
013.mp4,13.28,30,0.5021767616271973
014.mp4,22.533333333333335,61,0.5046093225479126
015.mp4,14.566666666666666,40,0.5025930588061993
016.mp4,22.6,58,0.533284814734208
017.mp4,13.266666666666667,34,0.5333732980670352
018.mp4,14.4,36,0.5481956686292376
019.mp4,46.166666666666664,121,0.5171765625476837
020.mp4,15.6,33,0.5465721487998962
021.mp4,14.366666666666667,38,0.5184794825476569
022.mp4,10.833333333333334,30,0.49937739043400203
023.mp4,22.12,52,0.48693445149589987
024.mp4,12.24,27,0.5108621762349055
025.mp4,24.9,65,0.5328570492565632
026.mp4,12.88,29,0.515003332069942
027.mp4,10.5,29,0.49504836968013216
028.mp4,14.466666666666667,39,0.5068171275289435
029.mp4,16.64,36,0.5223956857408796
030.mp4,9.9,26,0.6720004749298095
031.mp4,16.066666666666666,44,0.5025769278060558
032.mp4,10.333333333333334,27,0.5241651168236365
033.mp4,32.36,70,0.5180156611014104
034.mp4,13.566666666666666,34,0.5516057736945875
035.mp4,16.92,39,0.5001743028038427
036.mp4,13.48,29,0.5252751367432731
037.mp4,18.16,41,0.5013680577278137
038.mp4,10.166666666666666,28,0.5044983934473108
039.mp4,20.3,56,0.49645228385925294
040.mp4,21.92,45,0.5176040259274569
041.mp4,13.96,30,0.5298411763947586
042.mp4,22.533333333333335,31,0.4925052245457967
043.mp4,16.5,43,0.5325297798429217
044.mp4,11.166666666666666,31,0.49114887714385985
045.mp4,14.0,33,0.6062066331505775
046.mp4,16.8,45,0.5185130617835305
