檔案名稱,影片秒數,眨眼次數,平均眨眼秒數
000_003.mp4,15.84,4,3.11262687
001_870.mp4,18.4,9,2.044485897
002_006.mp4,23.1,43,0.784167222
003_000.mp4,12.12,25,0.606329749
004_982.mp4,12.36,21,0.623653448
005_010.mp4,15.4,7,2.60631454
006_002.mp4,10.33333333,12,0.522590442
007_132.mp4,20.2,6,4.706611729
008_990.mp4,25.48,10,2.94173042
009_027.mp4,19.6,42,0.677225119
010_005.mp4,18.96,10,2.290644328
011_805.mp4,26.33333333,12,2.416598168
012_026.mp4,14.52,21,0.857797575
013_883.mp4,13.28,1,0
014_790.mp4,22.53333333,68,0.476098199
015_919.mp4,14.56666667,28,0.744406003
016_209.mp4,22.6,39,0.825995797
017_803.mp4,13.26666667,7,2.259316524
018_019.mp4,14.4,42,0.49916821
019_018.mp4,46.16666667,10,7.183155086
020_344.mp4,15.6,14,1.450524238
021_312.mp4,14.36666667,43,0.499156486
022_489.mp4,10.83333333,3,1.340707421
023_923.mp4,22.12,7,3.015635133
024_073.mp4,12.24,8,1.927094834
025_067.mp4,24.9,4,4.317029953
026_012.mp4,12.88,16,0.998447386
027_009.mp4,10.5,12,1.415680907
028_068.mp4,14.46666667,1,0
029_048.mp4,16.64,0,0
030_193.mp4,9.9,12,0.955354842
031_163.mp4,16.06666667,13,1.500186662
032_944.mp4,10.33333333,1,0
033_097.mp4,32.36,79,0.527381671
034_590.mp4,13.56666667,16,1.341233555
035_036.mp4,16.92,8,2.849728448
036_035.mp4,13.48,4,3.734076023
037_072.mp4,18.16,15,1.371473874
038_125.mp4,10.16666667,2,5.784741402
039_058.mp4,20.3,32,0.842050322
040_997.mp4,21.92,7,3.666490157
041_063.mp4,13.96,23,0.723963748
042_084.mp4,22.53333333,3,6.42414701
043_110.mp4,16.5,37,0.649588817
044_945.mp4,11.16666667,12,1.40022319
045_889.mp4,14,2,2.41157341
046_904.mp4,16.8,6,2.805419207
047_862.mp4,10.63333333,4,2.569068034
048_029.mp4,19.4,25,0.77753665
049_946.mp4,12,4,1.526838223
050_059.mp4,21.2,29,0.833405648
051_332.mp4,28.68,35,0.983182094
052_108.mp4,10.76666667,0,0
053_095.mp4,16.68,6,3.738608694
054_071.mp4,12.26666667,1,0
055_147.mp4,13.13333333,27,0.723078911
056_996.mp4,14.92,37,0.498070286
057_070.mp4,17.24,16,1.103652652
058_039.mp4,22.3,66,0.506078683
059_050.mp4,28.84,72,0.493516808
060_088.mp4,33.76,69,0.604949376
061_080.mp4,13.48,19,0.817285339
062_066.mp4,14.1,39,0.535509536
063_041.mp4,37.2,25,1.575983594
064_991.mp4,16.08,24,0.760212224
065_089.mp4,17.68,36,0.60847108
066_062.mp4,14.5,18,1.12686815
067_025.mp4,17.93333333,6,5.288064814
068_028.mp4,13.36666667,3,5.193517923
069_961.mp4,25.8,22,1.726937691
070_057.mp4,14.68,25,0.725073983
071_054.mp4,15.1,27,0.788181718
072_037.mp4,12.44,0,0
073_024.mp4,28.12,0,0
074_825.mp4,13.8,0,0
075_977.mp4,20.43333333,2,0.580049276
076_079.mp4,10.96666667,12,1.555535295
077_100.mp4,24.44,0,0
078_955.mp4,20.92,37,0.703903814
079_076.mp4,14.13333333,13,1.716752768
080_061.mp4,19.32,24,0.885359007
081_087.mp4,46.8,74,0.755070585
082_103.mp4,12.64,1,0
083_213.mp4,18.16666667,4,5.733743191
084_042.mp4,15.625,30,0.714905862
085_124.mp4,13.16,14,1.015086357
086_090.mp4,31.16666667,5,7.884722054
087_081.mp4,12.36,0,0
088_060.mp4,26.6,25,1.241238018
089_065.mp4,30.04,54,0.671137558
090_086.mp4,22.9,22,1.659436896
091_116.mp4,21.3,5,0.715847194
092_098.mp4,18.4,37,0.587045656
093_121.mp4,12.83333333,0,0
094_111.mp4,22.36,10,2.71710817
095_053.mp4,40.24,22,2.007209551
096_101.mp4,16.8,0,0
097_033.mp4,19.12,43,0.565903817
098_092.mp4,11.96,19,0.664317608
099_295.mp4,24.52,10,3.912154277
100_077.mp4,16.92,4,5.739070098
101_096.mp4,38.26666667,11,3.334955454
102_114.mp4,15.56,39,0.484528968
103_082.mp4,23.8,11,2.875031853
104_126.mp4,15.4,21,1.079578972
105_180.mp4,10,16,0.887958686
106_198.mp4,11.86666667,23,0.626338569
107_109.mp4,22.24,51,0.50087563
108_052.mp4,10,13,1.036309401
109_107.mp4,11.92,0,0
110_043.mp4,18.83333333,44,0.609293755
111_094.mp4,17.32,35,0.576090679
112_892.mp4,13.93333333,12,2.115207737
113_983.mp4,33.64,4,6.262398879
114_102.mp4,50.76,41,1.512788916
115_939.mp4,10.66666667,19,0.873760727
116_091.mp4,10.9,10,1.682153649
117_217.mp4,21.92,20,1.410113485
