video_id,blink_count,avg_blink_duration
000.mp4,9,1.898395211
001.mp4,11,1.441584611
002.mp4,53,0.629911487
003.mp4,28,0.509106203
004.mp4,13,0.936296841
005.mp4,6,2.133560467
006.mp4,15,0.779904468
007.mp4,26,0.968871956
008.mp4,19,1.47141793
009.mp4,47,0.636686403
010.mp4,18,1.38532682
011.mp4,14,1.824088592
012.mp4,9,1.871873617
013.mp4,0,0
014.mp4,48,0.709568135
015.mp4,23,0.861512043
016.mp4,16,2.029321496
017.mp4,18,1.186936869
018.mp4,20,1.149704544
019.mp4,4,15.40991974
020.mp4,38,0.538441729
021.mp4,35,0.634430037
022.mp4,1,0
023.mp4,0,0
024.mp4,6,2.194760084
025.mp4,0,0
026.mp4,17,0.900958404
027.mp4,5,1.891432285
028.mp4,1,0
029.mp4,0,0
030.mp4,9,1.243792236
031.mp4,23,1.095275109
032.mp4,11,1.349247718
033.mp4,78,0.536011163
034.mp4,24,0.884756835
035.mp4,1,0
036.mp4,9,2.034046143
037.mp4,3,5.418164372
038.mp4,1,0
039.mp4,13,2.600249867
040.mp4,5,6.428316474
041.mp4,18,0.946407613
042.mp4,20,0.872595925
043.mp4,32,0.835191442
044.mp4,8,2.285130365
045.mp4,3,8.835444808
046.mp4,5,4.235927105
047.mp4,9,1.91122672
048.mp4,18,0.945002093
049.mp4,7,2.710238695
050.mp4,53,0.48128863
051.mp4,27,1.247863953
052.mp4,4,5.903440555
053.mp4,0,0
054.mp4,12,1.520759019
055.mp4,25,0.770838569
056.mp4,19,0.79990081
057.mp4,10,1.727990468
058.mp4,64,0.493659678
059.mp4,44,0.798765842
060.mp4,63,0.647524849
061.mp4,18,0.768168996
062.mp4,8,2.4517591
063.mp4,27,1.599715306
064.mp4,26,0.682126598
065.mp4,32,0.6867737
066.mp4,43,0.467147146
067.mp4,5,6.214560509
068.mp4,1,0
069.mp4,22,1.794652099
070.mp4,22,0.826449122
071.mp4,8,3.019634587
072.mp4,7,2.004759391
073.mp4,0,0
074.mp4,3,5.307711601
075.mp4,3,9.829888225
076.mp4,12,1.446513913
077.mp4,0,0
078.mp4,8,3.410981655
079.mp4,8,2.978094271
080.mp4,14,1.660913889
081.mp4,28,1.937532301
082.mp4,3,4.122933388
083.mp4,39,0.881934216
084.mp4,21,1.156098127
085.mp4,10,1.538480759
086.mp4,7,6.292631308
087.mp4,2,5.403545618
088.mp4,10,3.186161889
089.mp4,39,1.005115302
090.mp4,8,1.972487518
091.mp4,5,7.293520093
092.mp4,46,0.541588773
093.mp4,0,0
094.mp4,4,3.601864179
095.mp4,26,1.631865215
096.mp4,0,0
097.mp4,44,0.550344229
098.mp4,28,0.51742091
099.mp4,23,1.649614464
100.mp4,9,2.049141705
101.mp4,13,4.407849967
102.mp4,39,0.484590625
103.mp4,7,4.13179791
104.mp4,21,1.072112012
105.mp4,9,1.83712545
106.mp4,17,0.768785432
107.mp4,22,1.326455309
108.mp4,10,1.712359799
109.mp4,2,7.172008276
110.mp4,36,0.833652803
111.mp4,41,0.532042235
112.mp4,13,2.122032424
113.mp4,8,3.504796812
114.mp4,17,2.954376712
115.mp4,31,0.540771031
116.mp4,5,3.068518698
117.mp4,16,1.729631408
118.mp4,33,0.505929917
119.mp4,1,0
120.mp4,4,5.965761423
121.mp4,5,7.138055801
122.mp4,13,0.898993731
123.mp4,10,2.624004205
124.mp4,1,0
125.mp4,7,3.087775588
126.mp4,17,0.733090088
127.mp4,18,2.482580858
128.mp4,43,0.904471278
129.mp4,32,0.552283418
130.mp4,5,5.818707049
131.mp4,0,0
132.mp4,5,2.063809514
133.mp4,2,0.812864065
134.mp4,4,2.840318282
135.mp4,33,0.570773274
136.mp4,32,0.947772726
137.mp4,37,0.854057431
138.mp4,0,0
