Video_ID,Video_Time,Blink_count,Ave_count,1st(5 sec),2st(5 sec),3st(5 sec),Avg Time varibale(5 sec),樣本1-3(5 sec)平均數,樣本1-3(5 sec)變異數,母體1-3(5 sec) 標準差,母體1-3(5 sec) 標準差
000.mp4,15.84,13,1.373044829,3,5,3,3.666666667,3.666666667,1.333333333,,4.043528437
001.mp4,18.4,12,1.734938513,2,5,3,3.333333333,3.333333333,2.333333333,,
002.mp4,23.1,45,0.706521619,13,6,5,8.75,8,19,,樣本1-3(5 sec)變異數
003.mp4,12.12,22,0.619316567,9,9,0,9,6,27,,16.35557408
004.mp4,12.36,10,0.988637182,2,6,0,4,2.666666667,9.333333333,,樣本1-3(5 sec)平均數
005.mp4,15.4,10,1.736416048,3,4,3,3.333333333,3.333333333,0.333333333,,3.843333333
006.mp4,10.33333333,14,0.671773012,4,9,0,6.5,4.333333333,20.33333333,,
007.mp4,20.2,15,1.558381353,2,3,5,3.75,3.333333333,2.333333333,,
008.mp4,25.48,9,3.19368732,2,1,3,1.6,2,1,,
009.mp4,19.6,21,1.221369183,4,10,3,5.666666667,5.666666667,14.33333333,,
010.mp4,18.96,15,1.375914676,3,4,5,4,4,1,,
011.mp4,26.33333333,14,1.409247215,3,1,7,2.8,3.666666667,9.333333333,,
012.mp4,14.52,4,3.70544823,1,1,0,1,0.666666667,0.333333333,,
013.mp4,13.28,0,0,0,0,0,0,0,0,,
014.mp4,22.53333333,40,0.770022429,6,9,10,9,8.333333333,4.333333333,,
015.mp4,14.56666667,21,0.868711793,12,5,0,8.5,5.666666667,36.33333333,,
016.mp4,22.6,15,2.02434252,4,4,1,3,3,3,,
017.mp4,13.26666667,15,1.163819381,8,1,0,4.5,3,19,,
018.mp4,14.4,5,3.559510827,2,2,0,2,1.333333333,1.333333333,,
019.mp4,46.16666667,4,13.0115641,1,1,0,0.444444444,0.666666667,0.333333333,,
020.mp4,15.6,39,0.45127304,13,12,13,12.66666667,12.66666667,0.333333333,,
021.mp4,14.36666667,31,0.586396901,11,13,0,12,8,49,,
022.mp4,10.83333333,2,9.18285799,1,1,0,1,0.666666667,0.333333333,,
023.mp4,22.12,0,0,0,0,0,0,0,0,,
024.mp4,12.24,4,3.032600641,1,2,0,1.5,1,1,,
025.mp4,24.9,0,0,0,0,0,0,0,0,,
026.mp4,12.88,20,0.745826696,10,5,0,7.5,5,25,,
027.mp4,10.5,6,2.169280195,1,4,0,2.5,1.666666667,4.333333333,,
028.mp4,14.46666667,2,1.39607501,2,0,0,1,0.666666667,1.333333333,,
029.mp4,16.64,0,0,0,0,0,0,0,0,,
030.mp4,9.9,8,1.149528776,1,0,0,1,0.333333333,0.333333333,,
031.mp4,16.06666667,15,1.458768436,6,5,3,4.666666667,4.666666667,2.333333333,,
032.mp4,10.33333333,11,1.012463212,6,5,0,5.5,3.666666667,10.33333333,,
033.mp4,32.36,65,0.559527762,10,12,11,10.33333333,11,1,,
034.mp4,13.56666667,23,0.822430762,12,7,0,9.5,6.333333333,36.33333333,,
035.mp4,16.92,2,0.810248852,2,0,0,0.666666667,0.666666667,1.333333333,,
036.mp4,13.48,4,3.480535905,2,2,0,2,1.333333333,1.333333333,,
037.mp4,18.16,6,3.117520952,1,3,1,1.666666667,1.666666667,1.333333333,,
038.mp4,10.16666667,1,0,0,1,0,0.5,0.333333333,0.333333333,,
039.mp4,20.3,14,1.886995609,5,4,4,3.5,4.333333333,0.333333333,,
040.mp4,21.92,6,2.899412775,2,2,1,1.666666667,1.666666667,0.333333333,,
041.mp4,13.96,17,0.762410432,7,6,0,6.5,4.333333333,14.33333333,,
042.mp4,22.53333333,20,0.77248951,7,6,2,4.5,5,7,,
043.mp4,16.5,24,0.9302607,8,6,9,7.666666667,7.666666667,2.333333333,,
044.mp4,11.16666667,8,1.766067845,6,2,0,4,2.666666667,9.333333333,,
045.mp4,14,3,8.582309246,1,0,0,0.5,0.333333333,0.333333333,,
046.mp4,16.8,4,4.410044909,0,2,0,0.666666667,0.666666667,1.333333333,,
047.mp4,10.63333333,9,1.737358898,2,6,0,4,2.666666667,9.333333333,,
048.mp4,19.4,24,0.670724185,6,9,9,8,8,3,,
049.mp4,12,6,3.012809658,1,3,0,2,1.333333333,2.333333333,,
050.mp4,21.2,38,0.635506694,6,5,12,8.75,7.666666667,14.33333333,,
051.mp4,28.68,31,0.985312366,6,5,6,5.6,5.666666667,0.333333333,,
052.mp4,10.76666667,3,4.471746087,1,2,0,1.5,1,1,,
053.mp4,16.68,1,0,0,0,0,0,0,0,,
054.mp4,12.26666667,10,1.771140416,4,4,0,4,2.666666667,5.333333333,,
055.mp4,13.13333333,14,1.339209263,4,8,0,6,4,16,,
056.mp4,14.92,11,1.21573565,3,7,0,5,3.333333333,12.33333333,,
057.mp4,17.24,10,1.941728724,2,3,4,3,3,1,,
058.mp4,22.3,56,0.540418204,14,13,11,12.5,12.66666667,2.333333333,,
059.mp4,28.84,42,0.781397645,8,8,9,7.6,8.333333333,0.333333333,,
060.mp4,33.76,55,0.67113328,10,10,4,8.166666667,8,12,,
061.mp4,13.48,18,0.783806212,8,6,0,7,4.666666667,17.33333333,,
062.mp4,14.1,6,2.674179649,2,2,0,2,1.333333333,1.333333333,,
063.mp4,37.2,29,1.483632156,3,3,4,4,3.333333333,0.333333333,,
064.mp4,16.08,18,0.931944693,6,9,3,6,6,9,,
065.mp4,17.68,32,0.614891437,12,9,8,9.666666667,9.666666667,4.333333333,,
066.mp4,14.5,40,0.493970785,14,13,0,13.5,9,61,,
067.mp4,17.93333333,6,4.682667971,1,2,2,1.666666667,1.666666667,0.333333333,,
068.mp4,13.36666667,2,9.484401941,1,0,0,0.5,0.333333333,0.333333333,,
069.mp4,25.8,22,1.608910345,4,5,4,4.2,4.333333333,0.333333333,,
070.mp4,14.68,27,0.627120073,8,11,0,9.5,6.333333333,32.33333333,,
071.mp4,15.1,2,1.036003351,0,0,1,0.333333333,0.333333333,0.333333333,,
072.mp4,12.44,10,1.275175042,5,3,0,4,2.666666667,6.333333333,,
073.mp4,28.12,0,0,0,0,0,0,0,0,,
