Video_ID,Video_Time,Blink_count,Ave_count,1st(5 sec),2st(5 sec),3st(5 sec),Avg Time varibale(5 sec),,樣本1-3(5 sec) 標準差,樣本1-3(5 sec)平均數,樣本1-3(5 sec)變異數,,母體1-3(5 sec) 標準差,
000_003.mp4,15.84,12,1.493463039,3,5,2,3.333333333,,1.527525232,3.333333333,2.333333333,,4.581820005,
001_870.mp4,18.4,9,1.833773702,2,3,1,2,,1,2,1,,,
002_006.mp4,23.1,34,0.938041434,4,9,5,6.25,,2.645751311,6,7,,,樣本1-3(5 sec)變異數
003_000.mp4,12.12,15,0.900494558,7,5,0,6,,3.605551275,4,13,,,21.00007458
004_982.mp4,12.36,22,0.613787447,5,11,0,8,,5.507570547,5.333333333,30.33333333,,,樣本1-3(5 sec)平均數
005_010.mp4,15.4,17,1.008433074,4,9,4,5.666666667,,2.886751346,5.666666667,8.333333333,,,3.642333333
006_002.mp4,10.33333333,13,0.450026413,4,9,0,6.5,,4.509249753,4.333333333,20.33333333,,,
007_132.mp4,20.2,1,0,0,1,0,0.25,,0.577350269,0.333333333,0.333333333,,,
008_990.mp4,25.48,15,1.958334446,4,3,4,2.8,,0.577350269,3.666666667,0.333333333,,,
009_027.mp4,19.6,11,1.930788016,1,5,1,2.333333333,,2.309401077,2.333333333,5.333333333,,,
010_005.mp4,18.96,6,3.439462042,1,1,3,1.666666667,,1.154700538,1.666666667,1.333333333,,,
011_805.mp4,26.33333333,64,0.449985466,12,12,12,12,,0,12,0,,,
012_026.mp4,14.52,9,1.508084178,3,4,0,3.5,,2.081665999,2.333333333,4.333333333,,,
013_883.mp4,13.28,0,0,0,0,0,0,,0,0,0,,,
014_790.mp4,22.53333333,67,0.454153195,15,15,15,15,,0,15,0,,,
015_919.mp4,14.56666667,39,0.512214642,14,14,0,14,,8.082903769,9.333333333,65.33333333,,,
016_209.mp4,22.6,45,0.675320083,12,8,9,10,,2.081665999,9.666666667,4.333333333,,,
017_803.mp4,15.92,0,0,0,0,0,0,,0,0,0,,,
018_019.mp4,14.4,0,0,0,0,0,0,,0,0,0,,,
019_018.mp4,46.16666667,20,3.274761903,3,1,1,2.111111111,,1.154700538,1.666666667,1.333333333,,,
020_344.mp4,15.6,39,0.450552451,13,12,13,12.66666667,,0.577350269,12.66666667,0.333333333,,,
021_312.mp4,14.36666667,12,1.26438013,4,6,0,5,,3.055050463,3.333333333,9.333333333,,,
022_489.mp4,10.83333333,1,0,0,1,0,0.5,,0.577350269,0.333333333,0.333333333,,,
023_923.mp4,22.12,13,2.02592363,3,1,2,3,,1,2,1,,,
024_073.mp4,12.24,7,2.272281528,4,1,0,2.5,,2.081665999,1.666666667,4.333333333,,,
025_067.mp4,24.9,2,11.89406037,1,0,1,0.5,,0.577350269,0.666666667,0.333333333,,,
026_012.mp4,12.88,19,0.780085047,9,6,0,7.5,,4.582575695,5,21,,,
027_009.mp4,10.5,17,0.855196312,8,7,0,7.5,,4.358898944,5,19,,,
028_068.mp4,14.46666667,0,0,0,0,0,0,,0,0,0,,,
029_048.mp4,16.64,1,0,1,0,0,0.333333333,,0.577350269,0.333333333,0.333333333,,,
030_193.mp4,9.9,6,1.632638216,1,0,0,1,,0.577350269,0.333333333,0.333333333,,,
031_163.mp4,16.06666667,0,0,0,0,0,0,,0,0,0,,,
032_944.mp4,10.33333333,0,0,0,0,0,0,,0,0,0,,,
033_097.mp4,32.36,74,0.489788294,12,13,12,11.66666667,,0.577350269,12.33333333,0.333333333,,,
034_590.mp4,13.56666667,1,0,1,0,0,0.5,,0.577350269,0.333333333,0.333333333,,,
