Video_name,happy,angry,sad,surprise,disgust,fear,neutral,label,,,
000.mp4,0,,,,,,,1,,,VAR.S(•¿≈È≈‹≤ßº∆)
001.mp4,10,,,,,,,1,,,18548.86222
002.mp4,63,,,,,,,1,,,
003.mp4,210,,,,,,,1,,,
004.mp4,5,,,,,,,1,,,
005.mp4,7,,,,,,,1,,,
006.mp4,0,,,,,,,1,,,
007.mp4,4,,,,,,,1,,,
008.mp4,2,,,,,,,1,,,
009.mp4,101,,,,,,,1,,,
010.mp4,6,,,,,,,1,,,
011.mp4,214,,,,,,,1,,,
012.mp4,1,,,,,,,1,,,
013.mp4,0,,,,,,,1,,,
014.mp4,7,,,,,,,1,,,
015.mp4,353,,,,,,,1,,,
016.mp4,6,,,,,,,1,,,
017.mp4,49,,,,,,,1,,,
018.mp4,12,,,,,,,1,,,
019.mp4,407,,,,,,,1,,,
020.mp4,260,,,,,,,1,,,
021.mp4,50,,,,,,,1,,,
022.mp4,205,,,,,,,1,,,
023.mp4,17,,,,,,,1,,,
024.mp4,6,,,,,,,1,,,
025.mp4,130,,,,,,,1,,,
026.mp4,43,,,,,,,1,,,
027.mp4,1,,,,,,,1,,,
028.mp4,87,,,,,,,1,,,
029.mp4,20,,,,,,,1,,,
030.mp4,21,,,,,,,1,,,
031.mp4,259,,,,,,,1,,,
032.mp4,0,,,,,,,1,,,
033.mp4,628,,,,,,,1,,,
034.mp4,41,,,,,,,1,,,
035.mp4,42,,,,,,,1,,,
036.mp4,1,,,,,,,1,,,
037.mp4,0,,,,,,,1,,,
038.mp4,2,,,,,,,1,,,
039.mp4,47,,,,,,,1,,,
040.mp4,63,,,,,,,1,,,
041.mp4,155,,,,,,,1,,,
042.mp4,85,,,,,,,1,,,
043.mp4,36,,,,,,,1,,,
044.mp4,0,,,,,,,1,,,
045.mp4,0,,,,,,,1,,,
046.mp4,16,,,,,,,1,,,
047.mp4,3,,,,,,,1,,,
048.mp4,128,,,,,,,1,,,
049.mp4,0,,,,,,,1,,,
050.mp4,515,,,,,,,1,,,
051.mp4,13,,,,,,,1,,,
052.mp4,25,,,,,,,1,,,
053.mp4,15,,,,,,,1,,,
054.mp4,37,,,,,,,1,,,
055.mp4,161,,,,,,,1,,,
056.mp4,37,,,,,,,1,,,
057.mp4,3,,,,,,,1,,,
058.mp4,0,,,,,,,1,,,
059.mp4,32,,,,,,,1,,,
060.mp4,159,,,,,,,1,,,
061.mp4,193,,,,,,,1,,,
062.mp4,0,,,,,,,1,,,
063.mp4,4,,,,,,,1,,,
064.mp4,2,,,,,,,1,,,
065.mp4,45,,,,,,,1,,,
066.mp4,3,,,,,,,1,,,
067.mp4,2,,,,,,,1,,,
068.mp4,1,,,,,,,1,,,
069.mp4,19,,,,,,,1,,,
070.mp4,1,,,,,,,1,,,
071.mp4,29,,,,,,,1,,,
072.mp4,4,,,,,,,1,,,
073.mp4,0,,,,,,,1,,,
074.mp4,3,,,,,,,1,,,
075.mp4,48,,,,,,,1,,,
076.mp4,51,,,,,,,1,,,
077.mp4,11,,,,,,,1,,,
078.mp4,15,,,,,,,1,,,
079.mp4,22,,,,,,,1,,,
080.mp4,5,,,,,,,1,,,
081.mp4,38,,,,,,,1,,,
