Video_name,happy,angry,sad,surprise,disgust,fear,neutral,,,,
000_003.mp4,0,,,,,,,,,,
001_870.mp4,0,,,,,,,,,,
002_006.mp4,24,,,,,,,,,,
003_000.mp4,207,,,,,,,,,,VAR.S(樣本變異數)
004_982.mp4,2,,,,,,,,,,12297.85035
005_010.mp4,19,,,,,,,,,,
006_002.mp4,1,,,,,,,,,,
007_132.mp4,0,,,,,,,,,,
008_990.mp4,0,,,,,,,,,,
009_027.mp4,87,,,,,,,,,,
010_005.mp4,5,,,,,,,,,,
011_805.mp4,129,,,,,,,,,,
012_026.mp4,0,,,,,,,,,,
013_883.mp4,0,,,,,,,,,,
014_790.mp4,9,,,,,,,,,,
015_919.mp4,385,,,,,,,,,,
016_209.mp4,0,,,,,,,,,,
017_803.mp4,39,,,,,,,,,,
018_019.mp4,66,,,,,,,,,,
019_018.mp4,77,,,,,,,,,,
020_344.mp4,278,,,,,,,,,,
021_312.mp4,44,,,,,,,,,,
022_489.mp4,190,,,,,,,,,,
023_923.mp4,22,,,,,,,,,,
024_073.mp4,2,,,,,,,,,,
025_067.mp4,79,,,,,,,,,,
026_012.mp4,32,,,,,,,,,,
027_009.mp4,0,,,,,,,,,,
028_068.mp4,47,,,,,,,,,,
029_048.mp4,17,,,,,,,,,,
030_193.mp4,23,,,,,,,,,,
031_163.mp4,73,,,,,,,,,,
032_944.mp4,0,,,,,,,,,,
033_097.mp4,305,,,,,,,,,,
034_590.mp4,204,,,,,,,,,,
035_036.mp4,45,,,,,,,,,,
036_035.mp4,0,,,,,,,,,,
037_072.mp4,0,,,,,,,,,,
038_125.mp4,0,,,,,,,,,,
039_058.mp4,45,,,,,,,,,,
040_997.mp4,10,,,,,,,,,,
041_063.mp4,131,,,,,,,,,,
042_084.mp4,44,,,,,,,,,,
043_110.mp4,35,,,,,,,,,,
044_945.mp4,0,,,,,,,,,,
045_889.mp4,1,,,,,,,,,,
046_904.mp4,19,,,,,,,,,,
047_862.mp4,5,,,,,,,,,,
048_029.mp4,74,,,,,,,,,,
049_946.mp4,0,,,,,,,,,,
050_059.mp4,507,,,,,,,,,,
051_332.mp4,16,,,,,,,,,,
052_108.mp4,16,,,,,,,,,,
053_095.mp4,10,,,,,,,,,,
054_071.mp4,37,,,,,,,,,,
055_147.mp4,144,,,,,,,,,,
056_996.mp4,49,,,,,,,,,,
057_070.mp4,1,,,,,,,,,,
058_039.mp4,0,,,,,,,,,,
059_050.mp4,0,,,,,,,,,,
060_088.mp4,63,,,,,,,,,,
061_080.mp4,253,,,,,,,,,,
062_066.mp4,0,,,,,,,,,,
063_041.mp4,2,,,,,,,,,,
064_991.mp4,1,,,,,,,,,,
065_089.mp4,15,,,,,,,,,,
066_062.mp4,0,,,,,,,,,,
067_025.mp4,1,,,,,,,,,,
068_028.mp4,0,,,,,,,,,,
069_961.mp4,6,,,,,,,,,,
070_057.mp4,7,,,,,,,,,,
071_054.mp4,63,,,,,,,,,,
072_037.mp4,0,,,,,,,,,,
073_024.mp4,0,,,,,,,,,,
074_825.mp4,3,,,,,,,,,,
075_977.mp4,79,,,,,,,,,,
076_079.mp4,27,,,,,,,,,,
077_100.mp4,3,,,,,,,,,,
078_955.mp4,3,,,,,,,,,,
079_076.mp4,9,,,,,,,,,,
080_061.mp4,0,,,,,,,,,,
081_087.mp4,0,,,,,,,,,,
082_103.mp4,3,,,,,,,,,,
083_213.mp4,282,,,,,,,,,,
084_042.mp4,36,,,,,,,,,,
085_124.mp4,5,,,,,,,,,,
086_090.mp4,0,,,,,,,,,,
087_081.mp4,277,,,,,,,,,,
088_060.mp4,17,,,,,,,,,,
089_065.mp4,4,,,,,,,,,,
090_086.mp4,12,,,,,,,,,,
091_116.mp4,82,,,,,,,,,,
092_098.mp4,0,,,,,,,,,,
093_121.mp4,0,,,,,,,,,,
094_111.mp4,1,,,,,,,,,,
095_053.mp4,120,,,,,,,,,,
096_101.mp4,2,,,,,,,,,,
097_033.mp4,55,,,,,,,,,,
098_092.mp4,1,,,,,,,,,,
099_295.mp4,4,,,,,,,,,,
100_077.mp4,101,,,,,,,,,,
101_096.mp4,119,,,,,,,,,,
102_114.mp4,227,,,,,,,,,,
103_082.mp4,0,,,,,,,,,,
104_126.mp4,0,,,,,,,,,,
105_180.mp4,0,,,,,,,,,,
106_198.mp4,199,,,,,,,,,,
107_109.mp4,0,,,,,,,,,,
108_052.mp4,0,,,,,,,,,,
109_107.mp4,277,,,,,,,,,,
110_043.mp4,72,,,,,,,,,,
111_094.mp4,37,,,,,,,,,,
112_892.mp4,1,,,,,,,,,,
113_983.mp4,3,,,,,,,,,,
114_102.mp4,183,,,,,,,,,,
115_939.mp4,235,,,,,,,,,,
116_091.mp4,0,,,,,,,,,,
117_217.mp4,2,,,,,,,,,,
118_120.mp4,0,,,,,,,,,,
119_123.mp4,1,,,,,,,,,,
120_118.mp4,56,,,,,,,,,,
121_093.mp4,13,,,,,,,,,,
122_144.mp4,5,,,,,,,,,,
123_119.mp4,57,,,,,,,,,,
124_085.mp4,1,,,,,,,,,,
125_038.mp4,0,,,,,,,,,,
126_104.mp4,1,,,,,,,,,,
127_129.mp4,142,,,,,,,,,,
128_896.mp4,305,,,,,,,,,,
129_127.mp4,305,,,,,,,,,,
130_139.mp4,1,,,,,,,,,,
131_518.mp4,64,,,,,,,,,,
132_007.mp4,26,,,,,,,,,,
133_148.mp4,105,,,,,,,,,,
134_192.mp4,10,,,,,,,,,,
135_880.mp4,0,,,,,,,,,,
136_285.mp4,1,,,,,,,,,,
137_165.mp4,9,,,,,,,,,,
138_142.mp4,1,,,,,,,,,,
139_130.mp4,10,,,,,,,,,,
140_143.mp4,64,,,,,,,,,,
141_161.mp4,4,,,,,,,,,,
142_138.mp4,81,,,,,,,,,,
143_140.mp4,70,,,,,,,,,,
144_122.mp4,0,,,,,,,,,,
145_299.mp4,5,,,,,,,,,,
146_256.mp4,17,,,,,,,,,,
147_055.mp4,189,,,,,,,,,,
148_133.mp4,648,,,,,,,,,,
149_152.mp4,3,,,,,,,,,,
150_153.mp4,11,,,,,,,,,,
151_225.mp4,70,,,,,,,,,,
152_149.mp4,29,,,,,,,,,,
153_150.mp4,47,,,,,,,,,,
154_386.mp4,128,,,,,,,,,,
155_576.mp4,0,,,,,,,,,,
156_243.mp4,3,,,,,,,,,,
157_245.mp4,19,,,,,,,,,,
158_379.mp4,4,,,,,,,,,,
159_175.mp4,0,,,,,,,,,,
160_928.mp4,17,,,,,,,,,,
161_141.mp4,2,,,,,,,,,,
162_330.mp4,5,,,,,,,,,,
163_031.mp4,1,,,,,,,,,,
164_216.mp4,301,,,,,,,,,,
165_137.mp4,3,,,,,,,,,,
166_167.mp4,1,,,,,,,,,,
167_166.mp4,12,,,,,,,,,,
168_222.mp4,0,,,,,,,,,,
169_227.mp4,8,,,,,,,,,,
170_186.mp4,1,,,,,,,,,,
171_173.mp4,4,,,,,,,,,,
172_582.mp4,188,,,,,,,,,,
173_171.mp4,1,,,,,,,,,,
174_964.mp4,4,,,,,,,,,,
175_159.mp4,4,,,,,,,,,,
176_190.mp4,2,,,,,,,,,,
177_211.mp4,4,,,,,,,,,,
178_598.mp4,0,,,,,,,,,,
179_212.mp4,313,,,,,,,,,,
180_105.mp4,16,,,,,,,,,,
181_199.mp4,0,,,,,,,,,,
182_242.mp4,2,,,,,,,,,,
183_253.mp4,8,,,,,,,,,,
184_205.mp4,0,,,,,,,,,,
185_276.mp4,5,,,,,,,,,,
186_170.mp4,71,,,,,,,,,,
187_234.mp4,12,,,,,,,,,,
188_191.mp4,6,,,,,,,,,,
189_200.mp4,13,,,,,,,,,,
190_176.mp4,3,,,,,,,,,,
191_188.mp4,32,,,,,,,,,,
192_134.mp4,0,,,,,,,,,,
193_030.mp4,1,,,,,,,,,,
194_235.mp4,3,,,,,,,,,,
195_442.mp4,0,,,,,,,,,,
196_310.mp4,0,,,,,,,,,,
197_224.mp4,76,,,,,,,,,,
198_106.mp4,0,,,,,,,,,,
199_181.mp4,9,,,,,,,,,,
200_189.mp4,8,,,,,,,,,,
201_203.mp4,3,,,,,,,,,,
202_348.mp4,0,,,,,,,,,,
203_201.mp4,3,,,,,,,,,,
204_230.mp4,8,,,,,,,,,,
205_184.mp4,52,,,,,,,,,,
206_221.mp4,0,,,,,,,,,,
207_908.mp4,0,,,,,,,,,,
208_215.mp4,128,,,,,,,,,,
209_016.mp4,154,,,,,,,,,,
210_241.mp4,3,,,,,,,,,,
211_177.mp4,181,,,,,,,,,,
212_179.mp4,2,,,,,,,,,,
213_083.mp4,152,,,,,,,,,,
214_255.mp4,0,,,,,,,,,,
215_208.mp4,306,,,,,,,,,,
216_164.mp4,0,,,,,,,,,,
217_117.mp4,121,,,,,,,,,,
218_239.mp4,0,,,,,,,,,,
219_220.mp4,6,,,,,,,,,,
220_219.mp4,2,,,,,,,,,,
221_206.mp4,745,,,,,,,,,,
222_168.mp4,9,,,,,,,,,,
223_586.mp4,19,,,,,,,,,,
224_197.mp4,0,,,,,,,,,,
225_151.mp4,5,,,,,,,,,,
226_491.mp4,15,,,,,,,,,,
227_169.mp4,44,,,,,,,,,,
228_289.mp4,0,,,,,,,,,,
229_247.mp4,1,,,,,,,,,,
230_204.mp4,29,,,,,,,,,,
231_663.mp4,61,,,,,,,,,,
232_248.mp4,4,,,,,,,,,,
233_995.mp4,2,,,,,,,,,,
234_187.mp4,0,,,,,,,,,,
235_194.mp4,2,,,,,,,,,,
236_237.mp4,162,,,,,,,,,,
237_236.mp4,196,,,,,,,,,,
238_282.mp4,3,,,,,,,,,,
239_218.mp4,412,,,,,,,,,,
240_290.mp4,0,,,,,,,,,,
241_210.mp4,122,,,,,,,,,,
242_182.mp4,0,,,,,,,,,,
243_156.mp4,67,,,,,,,,,,
244_822.mp4,1,,,,,,,,,,
245_157.mp4,0,,,,,,,,,,
246_258.mp4,5,,,,,,,,,,
247_229.mp4,6,,,,,,,,,,
248_232.mp4,19,,,,,,,,,,
249_280.mp4,17,,,,,,,,,,
250_461.mp4,11,,,,,,,,,,
251_375.mp4,21,,,,,,,,,,
252_266.mp4,27,,,,,,,,,,
253_183.mp4,0,,,,,,,,,,
254_261.mp4,28,,,,,,,,,,
255_214.mp4,5,,,,,,,,,,
256_146.mp4,0,,,,,,,,,,
257_420.mp4,6,,,,,,,,,,
258_246.mp4,8,,,,,,,,,,
259_345.mp4,41,,,,,,,,,,
260_331.mp4,1,,,,,,,,,,
261_254.mp4,355,,,,,,,,,,
262_301.mp4,38,,,,,,,,,,
263_284.mp4,0,,,,,,,,,,
264_271.mp4,3,,,,,,,,,,
265_475.mp4,0,,,,,,,,,,
266_252.mp4,0,,,,,,,,,,
267_286.mp4,0,,,,,,,,,,
268_269.mp4,40,,,,,,,,,,
269_268.mp4,0,,,,,,,,,,
270_297.mp4,2,,,,,,,,,,
271_264.mp4,4,,,,,,,,,,
272_396.mp4,7,,,,,,,,,,
273_807.mp4,59,,,,,,,,,,
274_412.mp4,20,,,,,,,,,,
275_887.mp4,0,,,,,,,,,,
276_185.mp4,6,,,,,,,,,,
277_335.mp4,50,,,,,,,,,,
278_306.mp4,59,,,,,,,,,,
279_298.mp4,27,,,,,,,,,,
280_249.mp4,11,,,,,,,,,,
281_474.mp4,7,,,,,,,,,,
282_238.mp4,2,,,,,,,,,,
283_313.mp4,0,,,,,,,,,,
284_263.mp4,7,,,,,,,,,,
285_136.mp4,34,,,,,,,,,,
286_267.mp4,141,,,,,,,,,,
287_426.mp4,0,,,,,,,,,,
288_321.mp4,28,,,,,,,,,,
289_228.mp4,112,,,,,,,,,,
290_240.mp4,0,,,,,,,,,,
291_874.mp4,50,,,,,,,,,,
292_294.mp4,2,,,,,,,,,,
293_296.mp4,37,,,,,,,,,,
294_292.mp4,9,,,,,,,,,,
295_099.mp4,0,,,,,,,,,,
296_293.mp4,330,,,,,,,,,,
297_270.mp4,6,,,,,,,,,,
298_279.mp4,9,,,,,,,,,,
299_145.mp4,0,,,,,,,,,,
300_304.mp4,101,,,,,,,,,,
301_262.mp4,0,,,,,,,,,,
302_323.mp4,1,,,,,,,,,,
303_309.mp4,3,,,,,,,,,,
304_300.mp4,0,,,,,,,,,,
305_513.mp4,249,,,,,,,,,,
